date,product_id,product_category,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days
2022-06-27,P006,Electronics,,10225.02,203,79,0,0.0,0,6,13
2023-06-14,P028,Apparel,,1137.33,108,51,0,0.0,2,6,8
2022-06-20,P005,Electronics,,8245.58,274,72,0,0.0,0,6,9
2022-03-06,P039,Home,,2657.76,179,43,0,0.0,6,3,12
2022-05-01,P015,Electronics,,12117.51,205,52,0,0.0,6,5,8
2023-05-28,P009,Apparel,,3375.71,128,43,0,0.0,6,5,2
2022-11-10,P034,Sports,,2396.88,116,52,0,0.0,3,11,2
2023-12-01,P002,Sports,,5729.01,68,55,0,0.0,4,12,9
2022-10-08,P012,Sports,,4988.18,309,78,0,0.0,5,10,6
2023-07-30,P046,Home,,959.05,77,56,0,0.0,6,7,2
2023-02-16,P042,Apparel,,1153.28,76,31,0,0.0,3,2,8
2022-03-28,P017,Electronics,,19228.9,193,59,0,0.0,0,3,7
2022-12-06,P027,Electronics,,11438.1,130,62,0,0.0,1,12,14
2023-12-06,P045,Electronics,,16283.41,45,21,0,0.0,2,12,13
2022-05-17,P031,Apparel,,707.17,94,47,0,0.0,1,5,13
2023-11-03,P039,Home,,2587.22,125,43,0,0.0,4,11,12
2023-03-28,P015,Electronics,,12054.77,157,52,0,0.0,1,3,8
2023-11-28,P047,Electronics,,164213.6,25,21,0,0.0,1,11,6
2023-04-23,P002,Sports,,5598.14,213,55,0,0.0,6,4,9
2023-07-13,P003,Home,,48014.3,310,79,0,0.0,3,7,10
2022-11-03,P001,Electronics,,24664.22,105,45,0,0.0,3,11,13
2022-05-02,P025,Apparel,,1402.24,174,51,0,0.0,0,5,5
2022-12-19,P024,Electronics,,2666.57,128,58,0,0.0,0,12,2
2022-12-16,P025,Apparel,,1350.1,146,51,0,0.0,4,12,5
2022-01-16,P004,Apparel,,3403.59,51,40,1,59.3,6,1,14
2023-01-14,P039,Home,,2576.15,77,43,1,11.7,5,1,12
2023-02-22,P026,Home,,7530.59,122,42,0,0.0,2,2,8
2022-05-19,P020,Electronics,,19460.39,49,45,0,0.0,3,5,8
2022-09-04,P028,Apparel,,1079.63,182,51,0,0.0,6,9,8
2023-01-05,P042,Apparel,,1198.95,57,31,0,0.0,3,1,8
2022-10-28,P006,Electronics,,10393.39,213,79,0,0.0,4,10,13
2022-01-27,P008,Beauty,,2004.75,27,20,0,0.0,3,1,10
2022-09-03,P023,Electronics,,2522.15,50,32,0,0.0,5,9,4
2023-03-06,P035,Sports,,1745.75,142,76,0,0.0,0,3,5
2023-08-08,P032,Electronics,,7122.81,157,39,0,0.0,1,8,12
2022-02-16,P001,Electronics,,23579.18,173,45,0,0.0,2,2,13
2023-10-23,P045,Electronics,,15651.79,36,21,0,0.0,0,10,13
2022-03-04,P041,Electronics,,18377.36,173,68,0,0.0,4,3,2
2023-05-30,P048,Apparel,,1879.86,171,51,0,0.0,1,5,7
2023-09-29,P008,Beauty,,2058.67,30,20,0,0.0,4,9,10
2022-05-11,P049,Apparel,,1176.08,25,23,0,0.0,2,5,8
2022-05-08,P005,Electronics,,8204.73,140,72,0,0.0,6,5,9
2022-10-02,P038,Electronics,,13349.01,112,52,1,60.0,6,10,4
2023-03-19,P049,Apparel,,1150.07,54,23,0,0.0,6,3,8
2023-03-05,P039,Home,,2635.2,124,43,0,0.0,6,3,12
2023-08-31,P037,Electronics,,5944.94,87,46,0,0.0,3,8,10
2023-08-11,P045,Electronics,,16371.47,66,21,0,0.0,4,8,13
2023-05-16,P017,Electronics,,19032.78,154,59,0,0.0,1,5,7
2023-08-13,P009,Apparel,,3458.23,88,43,0,0.0,6,8,2
2022-03-12,P003,Home,,4758.33,169,79,0,0.0,5,3,10
2022-09-12,P040,Apparel,,1379.78,-153,51,0,0.0,0,9,9
2022-08-04,P045,Electronics,,15613.9,78,21,0,0.0,3,8,13
2023-07-03,P038,Electronics,,13530.08,72,52,0,0.0,0,7,4
2023-09-01,P025,Apparel,,1359.08,149,51,0,0.0,4,9,5
2022-01-10,P003,Home,,4724.53,363,79,0,0.0,0,1,10
2022-09-04,P019,Apparel,,793.7,81,33,0,0.0,6,9,4
2022-11-04,P048,Apparel,,1916.71,61,51,0,0.0,4,11,7
2023-02-08,P049,Apparel,,1159.77,48,23,0,0.0,2,2,8
2023-12-06,P029,Apparel,,1267.02,71,41,0,0.0,2,12,13
2022-03-20,P013,Beauty,,2352.94,217,77,0,0.0,6,3,10
2023-03-01,P005,Electronics,,8221.9,198,72,0,0.0,2,3,9
2022-12-29,P034,Sports,,2502.4,73,52,0,0.0,3,12,2
2022-06-30,P023,Electronics,,2574.93,124,32,0,0.0,3,6,4
2022-09-24,P038,Electronics,,13456.45,189,52,0,0.0,5,9,4
2023-08-09,P017,Electronics,,18576.61,230,59,0,0.0,2,8,7
2022-07-01,P040,Apparel,,1411.75,204,51,0,0.0,4,7,9
2023-02-12,P037,Electronics,,5921.48,168,46,0,0.0,6,2,10
2022-04-27,P002,Sports,,5732.97,109,55,0,0.0,2,4,9
2022-02-11,P036,Beauty,,991.37,67,22,0,0.0,4,2,8
2022-04-04,P001,Electronics,,24933.28,69,45,0,0.0,0,4,13
2023-08-11,P020,Electronics,,19360.04,86,45,0,0.0,4,8,8
2022-02-04,P041,Electronics,,18293.29,234,68,0,0.0,4,2,2
2023-12-05,P011,Electronics,,6650.78,49,27,0,0.0,1,12,4
2023-11-12,P011,Electronics,,6384.91,70,27,1,17.0,6,11,4
2022-08-16,P032,Electronics,,6927.84,137,39,0,0.0,1,8,12
2022-08-13,P012,Sports,,4879.24,266,78,0,0.0,5,8,6
2023-04-14,P048,Apparel,,1900.83,142,51,0,0.0,4,4,7
2022-10-31,P029,Apparel,,1327.38,64,41,0,0.0,0,10,13
2023-04-29,P042,Apparel,,1158.3,62,31,0,0.0,5,4,8
2023-03-29,P023,Electronics,,2574.95,98,32,0,0.0,2,3,4
